Model,Role,Condition,Harm,Metric,trials,mean,sd,se,ci,order1,order2,Format,Cases,Grading,Type,Label
lisa,Agent1,Solo,NA,Accuracy,30,84.35,1.061,0.194,0.38,NA,NA,NO,AllCases,Unanimous,AllHarm,<span style='color:#6A0DAD'><b>Commercial RAG</b></span>
llama-3.3-70b,Agent1,Solo,NA,Accuracy,10,81.539,1.426,0.451,0.884,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-3.3-70b
llama-4-maverick,Agent1,Solo,NA,Accuracy,10,78.495,0.976,0.309,0.605,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick
llama-4-scout,Agent1,Solo,NA,Accuracy,10,79.137,0.6,0.19,0.372,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout
o1,Agent1,Solo,NA,Accuracy,10,72.375,0.85,0.269,0.527,NA,NA,NO,AllCases,Unanimous,AllHarm,o1
o1-mini,Agent1,Solo,NA,Accuracy,10,70.699,1.118,0.353,0.693,NA,NA,NO,AllCases,Unanimous,AllHarm,o1-mini
o3-mini,Agent1,Solo,NA,Accuracy,10,51.058,1.377,0.436,0.854,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini
o4-mini,Agent1,Solo,NA,Accuracy,10,58.283,1.399,0.442,0.867,NA,NA,NO,AllCases,Unanimous,AllHarm,o4-mini
claude-3.7-sonnet+claude-3.7-sonnet,Agent2,Guardian,NA,Accuracy,3,80.076,0.858,0.495,0.97,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+claude-3.7-sonnet
claude-3.7-sonnet+deepseek-r1,Agent2,Guardian,NA,Accuracy,3,76.247,0.64,0.37,0.724,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+deepseek-r1
claude-3.7-sonnet+gemini-2.0-flash,Agent2,Guardian,NA,Accuracy,3,81.465,0.26,0.15,0.295,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gemini-2.0-flash
claude-3.7-sonnet+gemini-2.5-pro,Agent2,Guardian,NA,Accuracy,3,81.358,1.197,0.691,1.354,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gemini-2.5-pro
claude-3.7-sonnet+gpt-4.1,Agent2,Guardian,NA,Accuracy,3,84.004,0.751,0.433,0.849,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gpt-4.1
claude-3.7-sonnet+gpt-5,Agent2,Guardian,NA,Accuracy,3,76.169,1.281,0.74,1.45,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gpt-5
claude-3.7-sonnet+gpt-5-mini,Agent2,Guardian,NA,Accuracy,3,80.312,0.586,0.338,0.663,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gpt-5-mini
claude-3.7-sonnet+llama-4-maverick,Agent2,Guardian,NA,Accuracy,3,79.979,0.263,0.152,0.297,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+llama-4-maverick
claude-3.7-sonnet+llama-4-scout,Agent2,Guardian,NA,Accuracy,3,80.032,0.171,0.099,0.193,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+llama-4-scout
claude-3.7-sonnet+o3-mini,Agent2,Guardian,NA,Accuracy,3,79.613,0.565,0.326,0.64,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+o3-mini
deepseek-r1+claude-3.7-sonnet,Agent2,Guardian,NA,Accuracy,5,80.149,0.788,0.352,0.69,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+claude-3.7-sonnet
deepseek-r1+deepseek-r1,Agent2,Guardian,NA,Accuracy,1,75.201,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+deepseek-r1
deepseek-r1+gemini-2.0-flash,Agent2,Guardian,NA,Accuracy,6,82.63,1.26,0.514,1.008,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash
deepseek-r1+gemini-2.5-pro,Agent2,Guardian,NA,Accuracy,10,79.05,0.789,0.25,0.489,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.5-pro
deepseek-r1+gpt-4.1,Agent2,Guardian,NA,Accuracy,1,85,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gpt-4.1
deepseek-r1+gpt-5,Agent2,Guardian,NA,Accuracy,1,75.323,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gpt-5
deepseek-r1+gpt-5-mini,Agent2,Guardian,NA,Accuracy,3,80.313,0.99,0.572,1.121,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gpt-5-mini
deepseek-r1+llama-4-maverick,Agent2,Guardian,NA,Accuracy,10,80.094,1.212,0.383,0.751,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-maverick
deepseek-r1+llama-4-scout,Agent2,Guardian,NA,Accuracy,2,80.017,1.345,0.951,1.864,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-scout
deepseek-r1+o3-mini,Agent2,Guardian,NA,Accuracy,3,78.207,1.048,0.605,1.186,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+o3-mini
gemini-2.0-flash+claude-3.7-sonnet,Agent2,Guardian,NA,Accuracy,9,83.154,1.013,0.338,0.662,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet
gemini-2.0-flash+deepseek-r1,Agent2,Guardian,NA,Accuracy,3,78.714,0.968,0.559,1.095,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+deepseek-r1
gemini-2.0-flash+gemini-2.0-flash,Agent2,Guardian,NA,Accuracy,3,85.952,1.059,0.611,1.198,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gemini-2.0-flash
gemini-2.0-flash+gemini-2.5-pro,Agent2,Guardian,NA,Accuracy,3,80.754,0.88,0.508,0.996,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gemini-2.5-pro
gemini-2.0-flash+gpt-4.1,Agent2,Guardian,NA,Accuracy,3,87.353,1.852,1.069,2.096,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gpt-4.1
gemini-2.0-flash+gpt-5,Agent2,Guardian,NA,Accuracy,3,78.047,0.691,0.399,0.782,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gpt-5
gemini-2.0-flash+gpt-5-mini,Agent2,Guardian,NA,Accuracy,3,82.679,0.621,0.358,0.703,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gpt-5-mini
gemini-2.0-flash+llama-4-maverick,Agent2,Guardian,NA,Accuracy,5,86.202,0.871,0.389,0.763,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-maverick
gemini-2.0-flash+llama-4-scout,Agent2,Guardian,NA,Accuracy,3,85.899,1.083,0.625,1.225,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout
gemini-2.0-flash+o3-mini,Agent2,Guardian,NA,Accuracy,5,83.464,0.933,0.417,0.818,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+o3-mini
gemini-2.5-pro+deepseek-r1,Agent2,Guardian,NA,Accuracy,3,75.434,0.202,0.117,0.229,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+deepseek-r1
gemini-2.5-pro+gemini-2.0-flash,Agent2,Guardian,NA,Accuracy,3,81.015,0.879,0.508,0.995,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gemini-2.0-flash
gemini-2.5-pro+gemini-2.5-pro,Agent2,Guardian,NA,Accuracy,3,78.371,1.935,1.117,2.19,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gemini-2.5-pro
gemini-2.5-pro+gpt-4.1,Agent2,Guardian,NA,Accuracy,5,86.663,3.291,1.472,2.885,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-4.1
gemini-2.5-pro+gpt-5,Agent2,Guardian,NA,Accuracy,3,77.898,0.917,0.529,1.037,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5
gemini-2.5-pro+gpt-5-mini,Agent2,Guardian,NA,Accuracy,10,81.234,1.393,0.441,0.864,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5-mini
gemini-2.5-pro+llama-4-maverick,Agent2,Guardian,NA,Accuracy,3,78.533,0.869,0.502,0.983,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+llama-4-maverick
gemini-2.5-pro+llama-4-scout,Agent2,Guardian,NA,Accuracy,3,78.534,0.805,0.465,0.911,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+llama-4-scout
gemini-2.5-pro+o3-mini,Agent2,Guardian,NA,Accuracy,3,78.07,0.643,0.371,0.728,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+o3-mini
gpt-4.1+claude-3.7-sonnet,Agent2,Guardian,NA,Accuracy,3,80.195,1.286,0.743,1.456,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+claude-3.7-sonnet
gpt-4.1+deepseek-r1,Agent2,Guardian,NA,Accuracy,2,75.826,0.028,0.019,0.038,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+deepseek-r1
gpt-4.1+gemini-2.0-flash,Agent2,Guardian,NA,Accuracy,3,82.18,0.772,0.446,0.874,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+gemini-2.0-flash
gpt-4.1+gemini-2.5-pro,Agent2,Guardian,NA,Accuracy,3,81.809,0.909,0.525,1.029,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+gemini-2.5-pro
gpt-4.1+gpt-4.1,Agent2,Guardian,NA,Accuracy,3,83.557,0.442,0.255,0.5,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+gpt-4.1
gpt-4.1+gpt-5,Agent2,Guardian,NA,Accuracy,3,75.805,0.07,0.041,0.08,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+gpt-5
gpt-4.1+gpt-5-mini,Agent2,Guardian,NA,Accuracy,3,80.999,0.824,0.476,0.932,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+gpt-5-mini
gpt-4.1+llama-4-maverick,Agent2,Guardian,NA,Accuracy,3,80.579,0.421,0.243,0.477,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+llama-4-maverick
gpt-4.1+llama-4-scout,Agent2,Guardian,NA,Accuracy,3,80.891,0.614,0.355,0.695,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+llama-4-scout
gpt-4.1+o3-mini,Agent2,Guardian,NA,Accuracy,3,79.131,0.569,0.329,0.644,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+o3-mini
gpt-5+claude-3.7-sonnet,Agent2,Guardian,NA,Accuracy,2,79.29,1.505,1.064,2.086,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+claude-3.7-sonnet
gpt-5+deepseek-r1,Agent2,Guardian,NA,Accuracy,3,71.89,1.063,0.614,1.203,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+deepseek-r1
gpt-5+gemini-2.0-flash,Agent2,Guardian,NA,Accuracy,3,75.242,0.64,0.369,0.724,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+gemini-2.0-flash
gpt-5+gemini-2.5-pro,Agent2,Guardian,NA,Accuracy,3,77.395,0.886,0.511,1.002,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+gemini-2.5-pro
gpt-5+gpt-4.1,Agent2,Guardian,NA,Accuracy,3,81.163,1.354,0.782,1.532,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+gpt-4.1
gpt-5+gpt-5,Agent2,Guardian,NA,Accuracy,3,73.333,0.391,0.226,0.442,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+gpt-5
gpt-5+gpt-5-mini,Agent2,Guardian,NA,Accuracy,3,75.66,0.673,0.388,0.761,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+gpt-5-mini
gpt-5+llama-4-maverick,Agent2,Guardian,NA,Accuracy,3,72.542,1.033,0.596,1.169,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+llama-4-maverick
gpt-5+llama-4-scout,Agent2,Guardian,NA,Accuracy,3,73.133,0.8,0.462,0.906,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+llama-4-scout
gpt-5+o3-mini,Agent2,Guardian,NA,Accuracy,3,71.951,1.109,0.64,1.255,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+o3-mini
gpt-5-mini+claude-3.7-sonnet,Agent2,Guardian,NA,Accuracy,1,80.323,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+claude-3.7-sonnet
gpt-5-mini+deepseek-r1,Agent2,Guardian,NA,Accuracy,2,73.994,0.114,0.081,0.158,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+deepseek-r1
gpt-5-mini+gemini-2.0-flash,Agent2,Guardian,NA,Accuracy,3,76.977,1.937,1.118,2.192,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gemini-2.0-flash
gpt-5-mini+gemini-2.5-pro,Agent2,Guardian,NA,Accuracy,3,78.183,1.978,1.142,2.239,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gemini-2.5-pro
gpt-5-mini+gpt-4.1,Agent2,Guardian,NA,Accuracy,5,84.489,0.782,0.35,0.685,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gpt-4.1
gpt-5-mini+gpt-5,Agent2,Guardian,NA,Accuracy,3,74.947,0.758,0.438,0.858,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gpt-5
gpt-5-mini+gpt-5-mini,Agent2,Guardian,NA,Accuracy,3,76.439,0.969,0.56,1.097,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gpt-5-mini
gpt-5-mini+llama-4-maverick,Agent2,Guardian,NA,Accuracy,2,73.87,1.2,0.849,1.663,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+llama-4-maverick
gpt-5-mini+llama-4-scout,Agent2,Guardian,NA,Accuracy,3,73.831,1.212,0.699,1.371,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+llama-4-scout
gpt-5-mini+o3-mini,Agent2,Guardian,NA,Accuracy,3,73.469,1.221,0.705,1.382,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+o3-mini
llama-4-maverick+claude-3.7-sonnet,Agent2,Guardian,NA,Accuracy,5,80.943,1.208,0.54,1.059,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+claude-3.7-sonnet
llama-4-maverick+deepseek-r1,Agent2,Guardian,NA,Accuracy,3,73.688,0.845,0.488,0.956,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+deepseek-r1
llama-4-maverick+gemini-2.0-flash,Agent2,Guardian,NA,Accuracy,3,82.66,0.567,0.328,0.642,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.0-flash
llama-4-maverick+gemini-2.5-pro,Agent2,Guardian,NA,Accuracy,3,83.149,1.627,0.94,1.842,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.5-pro
llama-4-maverick+gpt-4.1,Agent2,Guardian,NA,Accuracy,3,85.209,0.838,0.484,0.948,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gpt-4.1
llama-4-maverick+gpt-5,Agent2,Guardian,NA,Accuracy,3,75.552,1.209,0.698,1.368,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gpt-5
llama-4-maverick+gpt-5-mini,Agent2,Guardian,NA,Accuracy,3,80.075,0.653,0.377,0.739,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gpt-5-mini
llama-4-maverick+llama-4-maverick,Agent2,Guardian,NA,Accuracy,3,78.953,0.897,0.518,1.015,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+llama-4-maverick
llama-4-maverick+llama-4-scout,Agent2,Guardian,NA,Accuracy,3,79.493,0.784,0.453,0.888,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+llama-4-scout
llama-4-maverick+o3-mini,Agent2,Guardian,NA,Accuracy,3,76.493,0.635,0.367,0.719,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+o3-mini
llama-4-scout+claude-3.7-sonnet,Agent2,Guardian,NA,Accuracy,3,82.508,1.028,0.594,1.163,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+claude-3.7-sonnet
llama-4-scout+deepseek-r1,Agent2,Guardian,NA,Accuracy,5,75.566,0.636,0.285,0.558,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+deepseek-r1
llama-4-scout+gemini-2.0-flash,Agent2,Guardian,NA,Accuracy,3,85.315,0.727,0.42,0.823,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.0-flash
llama-4-scout+gemini-2.5-pro,Agent2,Guardian,NA,Accuracy,10,83.247,1.784,0.564,1.106,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro
llama-4-scout+gpt-4.1,Agent2,Guardian,NA,Accuracy,3,84.937,1.157,0.668,1.309,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-4.1
llama-4-scout+gpt-5,Agent2,Guardian,NA,Accuracy,3,76.572,0.868,0.501,0.982,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-5
llama-4-scout+gpt-5-mini,Agent2,Guardian,NA,Accuracy,3,80.054,0.345,0.199,0.391,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-5-mini
llama-4-scout+llama-4-maverick,Agent2,Guardian,NA,Accuracy,3,80.173,1.11,0.641,1.256,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-maverick
llama-4-scout+llama-4-scout,Agent2,Guardian,NA,Accuracy,3,79.814,0.683,0.394,0.773,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-scout
llama-4-scout+o3-mini,Agent2,Guardian,NA,Accuracy,3,77.36,0.114,0.066,0.129,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+o3-mini
o3-mini+claude-3.7-sonnet,Agent2,Guardian,NA,Accuracy,4,73.105,1.532,0.766,1.502,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+claude-3.7-sonnet
o3-mini+deepseek-r1,Agent2,Guardian,NA,Accuracy,3,64.22,1.152,0.665,1.303,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+deepseek-r1
o3-mini+gemini-2.0-flash,Agent2,Guardian,NA,Accuracy,3,65.847,1.289,0.744,1.459,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.0-flash
o3-mini+gemini-2.5-pro,Agent2,Guardian,NA,Accuracy,3,77.431,0.268,0.155,0.303,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.5-pro
o3-mini+gpt-4.1,Agent2,Guardian,NA,Accuracy,3,73.238,1.758,1.015,1.99,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-4.1
o3-mini+gpt-5,Agent2,Guardian,NA,Accuracy,3,69.813,0.652,0.376,0.738,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-5
o3-mini+gpt-5-mini,Agent2,Guardian,NA,Accuracy,3,71.911,0.97,0.56,1.098,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-5-mini
o3-mini+llama-4-maverick,Agent2,Guardian,NA,Accuracy,3,51.819,1.853,1.07,2.097,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-maverick
o3-mini+llama-4-scout,Agent2,Guardian,NA,Accuracy,3,52.166,1.404,0.81,1.588,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout
o3-mini+o3-mini,Agent2,Guardian,NA,Accuracy,3,51.391,1.76,1.016,1.992,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+o3-mini
deepseek-r1+claude-3.7-sonnet,Agent2,Stewardship,NA,Accuracy,5,69.717,1.259,0.563,1.104,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+claude-3.7-sonnet
deepseek-r1+gemini-2.0-flash,Agent2,Stewardship,NA,Accuracy,7,80.355,0.582,0.22,0.431,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash
deepseek-r1+llama-4-maverick,Agent2,Stewardship,NA,Accuracy,10,80.001,1.179,0.373,0.731,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-maverick
gemini-2.0-flash+claude-3.7-sonnet,Agent2,Stewardship,NA,Accuracy,9,74.437,1.467,0.489,0.959,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet
gemini-2.0-flash+llama-4-maverick,Agent2,Stewardship,NA,Accuracy,5,86.073,0.956,0.428,0.838,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-maverick
gemini-2.0-flash+llama-4-scout,Agent2,Stewardship,NA,Accuracy,1,87.299,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout
gemini-2.0-flash+o3-mini,Agent2,Stewardship,NA,Accuracy,5,81.325,1.478,0.661,1.296,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+o3-mini
gemini-2.5-pro+gpt-4.1,Agent2,Stewardship,NA,Accuracy,4,79.016,2.905,1.453,2.847,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-4.1
gemini-2.5-pro+gpt-5-mini,Agent2,Stewardship,NA,Accuracy,10,74.075,1.208,0.382,0.749,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5-mini
gpt-5-mini+gpt-4.1,Agent2,Stewardship,NA,Accuracy,5,74.126,1.346,0.602,1.18,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gpt-4.1
llama-4-maverick+claude-3.7-sonnet,Agent2,Stewardship,NA,Accuracy,4,70.49,0.996,0.498,0.976,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+claude-3.7-sonnet
llama-4-scout+deepseek-r1,Agent2,Stewardship,NA,Accuracy,4,68.062,0.675,0.338,0.662,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+deepseek-r1
llama-4-scout+gemini-2.5-pro,Agent2,Stewardship,NA,Accuracy,10,77.832,1.582,0.5,0.981,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro
o3-mini+claude-3.7-sonnet,Agent2,Stewardship,NA,Accuracy,2,63.366,0.03,0.022,0.042,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+claude-3.7-sonnet
claude-3.7-sonnet+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,NA,Accuracy,2,79.05,1.116,0.789,1.546,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gemini-2.5-pro+gpt-5
claude-3.7-sonnet+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,NA,Accuracy,1,80.193,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+llama-4-scout+gemini-2.5-pro
deepseek-r1+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Guardian,NA,Accuracy,9,82.847,0.99,0.33,0.647,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash+claude-3.7-sonnet
deepseek-r1+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,NA,Accuracy,1,77.221,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.5-pro+gpt-5
deepseek-r1+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,NA,Accuracy,1,78.226,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-scout+gemini-2.5-pro
gemini-2.0-flash+claude-3.7-sonnet+gemini-2.5-pro,Agent3,Guardian+Guardian,NA,Accuracy,2,80.451,0.319,0.226,0.442,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+gemini-2.5-pro
gemini-2.0-flash+claude-3.7-sonnet+gpt-5,Agent3,Guardian+Guardian,NA,Accuracy,2,79.307,0.161,0.114,0.223,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+gpt-5
gemini-2.0-flash+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,NA,Accuracy,10,79.405,1.069,0.338,0.663,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gemini-2.5-pro+gpt-5
